Serial Number:20461509 --,,,Serial Number:20461505 --,,,Serial Number:20461504 --,,,Serial Number:20461507 --,,,Serial Number:20461512 --,,,Serial Number:20461508 --,,,Serial Number:20461506 --,,,Serial Number:20461510 --,,
NC1a,NC1a,NC1a,NC1b,NC1b,NC1b,NC2a,NC2a,NC2a,NC2b,NC2b,NC2b,C1a,C1a,C1a,C1b,C1b,C1b,C2a,C2a,C2a,C2b,C2b,C2b
No canopy,No canopy,No canopy,No canopy,No canopy,No canopy,No canopy,No canopy,No canopy,No canopy,No canopy,No canopy,Canopy,Canopy,Canopy,Canopy,Canopy,Canopy,Canopy,Canopy,Canopy,Canopy,Canopy,Canopy
Date Time - UTC,"Temp, (*C)","Intensity, (lux)",Date Time - UTC,"Temp, (*C)","Intensity, (lux)",Date Time - UTC,"Temp, (*C)","Intensity, (lux)",Date Time - UTC,"Temp, (*C)","Intensity, (lux)",Date Time - UTC,"Temp, (*C)","Intensity, (lux)",Date Time - UTC,"Temp, (*C)","Intensity, (lux)",Date Time - UTC,"Temp, (*C)","Intensity, (lux)",Date Time - UTC,"Temp, (*C)","Intensity, (lux)"
07/02/2019 11:14, , ,,,,,,,,,,,,,,,,,,,,,
07/02/2019 11:41,,,,,,,,,,,,,,,,,,,,,,,
07/02/2019 12:11,,,,,,,,,,,,,,,,,,,,,,,
07/02/2019 12:41,12.7,5791,07/02/2019 12:48,11.92,23951,,,,,,,,,,,,,,,,,,
07/02/2019 13:11,11.49,19369,07/02/2019 13:18,11.28,17879,,,,,,,,,,,,,,,,,,
07/02/2019 13:41,10.94,17700,07/02/2019 13:48,11.15,17889,,,,,,,,,,,,,,,,,,
07/02/2019 14:11,9.95,9971,07/02/2019 14:18,10.16,12544,,,,,,,,,,,,,,,,,,
07/02/2019 14:41,9.56,11945,07/02/2019 14:48,9.26,9700,,,,,,,,,,,,,,,,,,
07/02/2019 15:11,8.32,4420,07/02/2019 15:18,8.36,6134,,,,,,,,,,,,,,,,,,
07/02/2019 15:41,8.15,3197,07/02/2019 15:48,8.23,4609,,,,,,,,,,,,,,,,,,
07/02/2019 16:11,8.11,1587,07/02/2019 16:18,8.11,925,,,,,,,,,,,,,,,,,,
07/02/2019 16:41,8.06,435,07/02/2019 16:48,8.11,600,,,,,,,,,,,,,,,,,,
07/02/2019 17:11,8.11,82,07/02/2019 17:18,8.11,78,,,,,,,,,,,,,,,,,,
07/02/2019 17:41,8.11,7,07/02/2019 17:48,8.11,2,,,,,,,,,,,,,,,,,,
07/02/2019 18:11,8.11,0,07/02/2019 18:18,8.06,0,,,,,,,,,,,,,,,,,,
